played_at,track_name,explicit,duration_ms,type,playlist_url
2017-04-06T09:54:22.014Z,It Wasn't Me,FALSE,227600,playlist,NA
2017-05-29T07:58:11.500Z,Semifluid Substances,FALSE,497250,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
2017-06-27T05:33:53.644Z,Periscopes Of Consciousness,FALSE,113800,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-04-24T09:59:41.829Z,Kilimanjaro,FALSE,386746,playlist,NA
2017-04-02T20:24:24.743Z,White Wedding,TRUE,506226,playlist,NA
2017-05-13T18:22:55.004Z,In The Wee Small Hours Of The Morning,FALSE,193960,album,NA
2017-06-27T12:45:33.453Z,Daws of Perception - Original Mix,FALSE,401664,playlist,https://open.spotify.com/user/1166777603/playlist/78CnfaxoM4CZ3RJgZyj1HH
2017-06-19T18:52:49.564Z,Insomnia,FALSE,190773,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-05-18T09:43:20.429Z,It Takes Two,FALSE,301893,playlist,NA
2017-05-02T20:53:17.620Z,Black Market,FALSE,390640,NA,NA
2017-05-13T18:59:36.858Z,Blue And Sentimental,FALSE,182200,album,NA
2017-05-29T12:50:06.160Z,Apex,FALSE,472108,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
2017-06-24T18:18:54.053Z,They Don't Want,FALSE,263721,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-06-10T10:02:28.149Z,Yellow Shoes,FALSE,318167,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
2017-04-22T16:57:19.856Z,Root Down (And Get It) - Live,FALSE,757013,playlist,NA
2017-06-09T18:45:36.797Z,Someday - Club Mix,FALSE,292973,artist,https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr
2017-04-12T07:15:05.812Z,Psychotropical Nights - Sonic Species Remix,FALSE,555235,NA,NA
2017-04-08T18:30:53.726Z,Feel It Still,FALSE,163250,playlist,NA
2017-06-19T18:24:40.876Z,Hard Twelve - The Ante,FALSE,240986,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-04-16T13:17:07.079Z,Jessie's Girl,FALSE,192866,playlist,NA
2017-06-27T03:18:12.504Z,NN3,FALSE,539613,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-05-27T15:58:16.507Z,Passionfruit,TRUE,298940,playlist,NA
2017-06-26T23:21:13.451Z,An Talamh,FALSE,567000,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
2017-06-04T18:08:33.273Z,Come Get My Lovin',FALSE,234400,album,https://open.spotify.com/album/2SRQRJDijX4d1KsVQjVFgP
2017-04-14T15:23:50.591Z,Anyám Tyúkja,FALSE,87500,playlist,NA
2017-06-07T09:38:31.335Z,I'm an Albatraoz,TRUE,166848,playlist,https://open.spotify.com/user/akryworuka/playlist/6UJEAu52Vb5O7VEBK8dZP2
2017-04-10T19:55:11.291Z,Life On The Line,FALSE,234600,album,NA
2017-06-02T23:08:48.494Z,Won't Trade,TRUE,161373,NA,NA
2017-05-17T13:55:44.969Z,Return of the Haggis,FALSE,250843,playlist,NA
2017-05-22T19:38:08.121Z,Make Me Believe In You,FALSE,328920,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
2017-04-19T21:45:23.103Z,Can You Get to That,FALSE,171560,playlist,NA
2017-06-07T13:32:29.454Z,On The Moon,FALSE,380200,album,https://open.spotify.com/album/3APzha7n0cOFqWyk6rQJhj
2017-04-21T08:32:37.265Z,Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,FALSE,219813,album,NA
2017-04-25T12:43:53.121Z,Petenere,FALSE,291973,album,NA
2017-06-21T19:18:28.549Z,Fama Djam Ganha,FALSE,211733,NA,NA
2017-06-05T11:15:34.337Z,Tonight,FALSE,237374,playlist,https://open.spotify.com/user/rayscheijgrond/playlist/64sIrb0wfsN3ckkHxVHoHI
2017-06-23T18:44:07.571Z,Techno Systems - Original Mix,FALSE,497142,playlist,https://open.spotify.com/user/1170891844/playlist/5w75qWvgYJPlowqC1DYUIR
2017-06-26T07:43:40.193Z,Mindenki valakié,FALSE,253746,NA,NA
2017-05-22T08:18:06.664Z,Strawberry Letter 23,FALSE,299066,playlist,NA
2017-06-29T18:06:15.298Z,Desperado - 3LAU Remix,FALSE,204413,playlist,https://open.spotify.com/user/1170891844/playlist/0W2px9Nx94VmoDcfAiIkEv
2017-05-21T13:36:06.853Z,Lepak,FALSE,184938,artist,NA
2017-04-16T13:06:21.051Z,Down By The Riverside,FALSE,174240,playlist,NA
2017-04-22T17:23:07.902Z,Shake Your Moneymaker,FALSE,155211,NA,NA
2017-05-19T11:51:00.451Z,These Walls Are Melting - Mindsurfer Remix,FALSE,471575,playlist,NA
2017-05-14T10:46:32.947Z,Slim's Return,FALSE,236306,playlist,NA
2017-06-24T18:26:31.791Z,Bluebird,FALSE,220413,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2017-04-25T17:59:01.275Z,One Foot Forward,FALSE,375390,playlist,NA
2017-05-13T19:50:11.481Z,Mean to Me,FALSE,172533,NA,NA
2017-04-21T18:48:29.266Z,Sleep Games,FALSE,305023,playlist,NA
2017-06-04T15:08:36.987Z,Runaway - Del 5 Dub,FALSE,298666,album,https://open.spotify.com/album/1FptUZwFKpRFza1EfkIvOg
2017-04-24T06:40:13.156Z,I Get Lifted - 2004 Remastered Version,FALSE,185560,playlist,NA
2017-04-15T20:01:52.319Z,Get Lost,FALSE,160497,playlist,NA
2017-06-07T06:42:28.487Z,Habiba,TRUE,215978,playlist,https://open.spotify.com/user/1170891844/playlist/5ZSewQun1V59quoFUx23UF
